"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Year","Date","Equipment","Fuel","Maintenance","Consumables","Cost of Goods Sold","Year.1","Cost of Production","Debt","Individual Scallops","ShellHeight (mm)","ShellHeight (Inches)","Adductor (g)","Adductor (lb)","Adductor Count per lb","Run Rate (Whole Scallop)","Break Even Price (Whole Scallop)","Run Rate (Adductor)","Break Even Price (Adductor)","Year.2","Insurance","Aquaculture License","Owner Salary","Full Time Employee","Depreciation","Fixed Overhead Costs","Sea.Days","Totalequipment","TotalLabor","TotalFuel","TotalMaint","TotalFOC","Longlines"
"1126",310000,"2-3 Years","November-January","Ear Hanging",15.8204744204396,10,Aug 2035,0,24388,29920,600,127187.632,10,291751.23,3404096.76,229927,72.93,2.87,9.7,0.02,46.76,1.27,1.65,59.33,76.92,10,6000,1200,66174,49630.5,39977.0535,164563.600942044,182,437000.183416667,669680.88,231016,283040,1789959.69952915,6
"1127",320000,"2-3 Years","November-January","Ear Hanging",15.8204744204396,10,Aug 2035,0,24924,30560,600,130657.664,10,295788.66,3443436.07,237344,72.93,2.87,9.7,0.02,46.76,1.25,1.61,58.28,75.38,10,6000,1200,66174,49630.5,40544.452,165130.999442044,186,439393.122666667,690327.168,235840,288800,1795675.78052915,6
"1128",330000,"2-3 Years","November-January","Ear Hanging",18.4572201571795,10,Aug 2035,0,25862,31680,600,135715.552,10,302146.01,3513889.97,244761,72.93,2.87,9.7,0.02,46.76,1.23,1.6,57.72,74.59,10,6000,1200,66174,49630.5,41580.2338333333,166430.455849051,193,448796.428583333,718208.48,244684,299360,1809441.0651729,7
"1129",340000,"2-3 Years","November-January","Ear Hanging",18.4572201571795,10,Aug 2035,0,26532,32480,600,138773.728,10,305773.3,3550724.39,252178,72.93,2.87,9.7,0.02,46.76,1.21,1.56,56.7,73.16,10,6000,1200,66174,49630.5,42149.349,166999.571015718,198,451199.7345,732502.064,251250,307200,1815172.5961729,7
"1130",350000,"2-3 Years","November-January","Ear Hanging",18.4572201571795,10,Aug 2035,0,27470,33600,600,143831.616,10,311397.5,3606085.74,259595,72.93,2.87,9.7,0.02,46.76,1.2,1.54,56.09,72.17,10,6000,1200,66174,49630.5,42715.6641666667,167565.886182385,205,453575.040416667,760383.376,260094,317760,1820873.3271729,7
"1131",360000,"2-3 Years","November-January","Ear Hanging",18.4572201571795,10,Aug 2035,0,28006,34240,600,146595.792,10,314729.08,3639072.35,267012,72.93,2.87,9.7,0.02,46.76,1.18,1.51,55.12,70.81,10,6000,1200,66174,49630.5,43283.0626666667,168133.284682385,209,455967.979666667,774676.96,264918,323520,1826589.4081729,7
"1132",370000,"2-3 Years","November-January","Ear Hanging",18.4572201571795,10,Aug 2035,0,28944,35360,600,151653.68,10,320356.08,3694492.5,274429,72.93,2.87,9.7,0.02,46.76,1.17,1.5,54.59,69.95,10,6000,1200,66174,49630.5,43852.1778333333,168702.399849051,216,458371.285583333,802558.272,273762,334080,1832320.9391729,7
"1133",380000,"2-3 Years","November-January","Ear Hanging",21.0939658939194,10,Aug 2035,0,29346,35840,600,154300.32,10,324302.18,3741480.85,281846,72.93,2.87,9.7,0.02,46.76,1.15,1.47,53.8,68.97,10,6000,1200,66174,49630.5,44887.9596666667,170001.856256059,219,467774.5915,818440.032,277380,338400,1846086.22381664,8
"1134",390000,"2-3 Years","November-January","Ear Hanging",21.0939658939194,10,Aug 2035,0,30686,37440,600,160063.744,10,330630.2,3804930.2,289263,72.93,2.87,9.7,0.02,46.76,1.14,1.46,53.45,68.34,10,6000,1200,66174,49630.5,45452.5581666667,170566.454756059,229,470139.53075,844733.168,290646,354240,1851771.50481664,8
"1135",400000,"2-3 Years","November-January","Ear Hanging",21.0939658939194,10,Aug 2035,0,31088,37920,600,162710.384,10,333845.95,3836884.8,296680,72.93,2.87,9.7,0.02,46.76,1.13,1.44,52.62,67.19,10,6000,1200,66174,49630.5,46021.6733333333,171135.569922725,232,472542.836666667,860614.928,294264,358560,1857503.03581664,8
"1156",50000,"3-4 Years","November-January","Ear Hanging",5.27349147347986,10,Aug 2035,0,4958,6720,600,24736.336,10,172285.08,2180112.83,32449,108.52,4.27,28.89,0.06,15.7,5.31,8.4,83.35,131.84,10,6000,1200,66174,49630.5,24016.89875,147548.747897348,37,349909.035833333,114525.136,45828,61920,1614530.66228749,2
"1157",60000,"3-4 Years","November-January","Ear Hanging",5.27349147347986,10,Aug 2035,0,5360,7200,600,26677.12,10,174930.48,2205796.77,38939,108.52,4.27,28.89,0.06,15.7,4.49,7.08,70.53,111.17,10,6000,1200,66174,49630.5,24721.5118333333,148253.360980681,40,352948.789666667,122995.408,49178,65920,1621354.57662083,2
"1158",70000,"3-4 Years","November-January","Ear Hanging",5.27349147347986,10,Aug 2035,0,6432,8480,600,32558.4,10,181510.14,2267777.39,45429,108.52,4.27,28.89,0.06,15.7,4,6.24,62.73,97.96,10,6000,1200,66174,49630.5,25419.8915833333,148951.740730681,48,355939.810166667,154053.072,58826,77440,1628118.50762083,2
"1159",80000,"3-4 Years","November-January","Ear Hanging",7.91023721021979,10,Aug 2035,0,6834,8960,600,35205.04,10,185588.94,2314788.99,51919,108.52,4.27,28.89,0.06,15.7,3.57,5.57,56.12,87.49,10,6000,1200,66174,49630.5,26588.3713333333,150383.895054355,51,365951.564,168876.048,62176,81440,1642945.37559791,3
"1160",90000,"3-4 Years","November-January","Ear Hanging",7.91023721021979,10,Aug 2035,0,7102,9280,600,36851.824,10,187940.33,2337826.93,58409,108.52,4.27,28.89,0.06,15.7,3.22,5,50.52,78.55,10,6000,1200,66174,49630.5,27292.9844166667,151088.508137689,53,368991.317833333,177346.32,64320,84000,1649769.28993124,3
"1161",100000,"3-4 Years","November-January","Ear Hanging",7.91023721021979,10,Aug 2035,0,8844,11360,600,44203.104,10,195989.99,2415154.47,64899,108.52,4.27,28.89,0.06,15.7,3.02,4.65,47.41,73.03,10,6000,1200,66174,49630.5,27991.3641666667,151786.887887689,66,371982.338333333,208756.912,80802,103680,1656533.22093124,3
"1162",110000,"3-4 Years","November-January","Ear Hanging",7.91023721021979,10,Aug 2035,0,9514,12160,600,47614.208,10,200105.71,2455012.22,71389,108.52,4.27,28.89,0.06,15.7,2.8,4.3,44.01,67.49,10,6000,1200,66174,49630.5,28695.97725,152491.500971022,71,375022.092166667,225520.992,86832,110880,1663357.13526458,3
"1163",120000,"3-4 Years","November-January","Ear Hanging",10.5469829469597,10,Aug 2035,0,10318,13120,600,51672.24,10,205595.9,2516490.67,77878,108.52,4.27,28.89,0.06,15.7,2.64,4.04,41.45,63.41,10,6000,1200,66174,49630.5,29864.457,153923.655294696,77,385033.846,245990.816,94202,119680,1678184.00324166,4
"1164",130000,"3-4 Years","November-January","Ear Hanging",10.5469829469597,10,Aug 2035,0,10854,13760,600,55142.272,10,209767.11,2555064.53,84368,108.52,4.27,28.89,0.06,15.7,2.49,3.79,39.03,59.43,10,6000,1200,66174,49630.5,30565.63675,154624.835044696,81,388052.8665,265048.928,98624,124960,1684978.73424166,4
"1165",140000,"3-4 Years","November-January","Ear Hanging",10.5469829469597,10,Aug 2035,0,11658,14720,600,59200.304,10,214526.95,2601509.22,90858,108.52,4.27,28.89,0.06,15.7,2.36,3.58,37.07,56.19,10,6000,1200,66174,49630.5,31267.4498333333,155326.648128029,87,391064.620333333,285518.752,105994,133760,1691771.84857499,4
"1166",150000,"3-4 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,12328,15520,600,62434.944,10,219196.55,2655047.62,97348,108.52,4.27,28.89,0.06,15.7,2.25,3.41,35.35,53.52,10,6000,1200,66174,49630.5,32438.7295833333,156761.602451703,92,401104.374166667,300341.728,112292,141280,1706629.51655207,5
"1167",160000,"3-4 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,12864,16160,600,65375.584,10,222835.57,2689621.55,103838,108.52,4.27,28.89,0.06,15.7,2.15,3.24,33.69,50.83,10,6000,1200,66174,49630.5,33137.1093333333,157459.982201703,96,404095.394666667,315164.704,116848,146720,1713393.44755207,5
"1168",170000,"3-4 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,13668,17120,600,69433.616,10,227598.21,2736125.04,110328,108.52,4.27,28.89,0.06,15.7,2.06,3.1,32.39,48.67,10,6000,1200,66174,49630.5,33841.7224166667,158164.595285037,102,407135.1485,335634.528,124218,155520,1720217.3618854,5
"1169",180000,"3-4 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,14070,17600,600,72080.256,10,230946.66,2768102.88,116818,108.52,4.27,28.89,0.06,15.7,1.98,2.96,31.04,46.5,10,6000,1200,66174,49630.5,34543.5355,158866.40836837,105,410146.902333333,350457.504,127568,159520,1727010.47621874,5
"1170",190000,"3-4 Years","November-January","Ear Hanging",15.8204744204396,10,Aug 2035,0,15142,18880,600,77961.536,10,238262.9,2845225.97,123308,108.52,4.27,28.89,0.06,15.7,1.93,2.88,30.34,45.28,10,6000,1200,66174,49630.5,35714.81525,160301.362692044,113,420186.656166667,381515.168,137216,171040,1741868.14419582,6
"1171",200000,"3-4 Years","November-January","Ear Hanging",15.8204744204396,10,Aug 2035,0,16214,20160,600,81901.712,10,242901.45,2890089.26,129797,108.52,4.27,28.89,0.06,15.7,1.87,2.78,29.38,43.7,10,6000,1200,66174,49630.5,36413.195,160999.742442044,121,423177.676666667,394573.504,147266,183040,1748632.07519582,6
"1172",210000,"3-4 Years","November-January","Ear Hanging",15.8204744204396,10,Aug 2035,0,17420,21600,600,87724.064,10,249428.42,2953412.56,136287,108.52,4.27,28.89,0.06,15.7,1.83,2.71,28.73,42.53,10,6000,1200,66174,49630.5,37117.8080833333,161704.355525377,130,426217.4305,423337.136,158522,196480,1755455.98952915,6
